,NUTS3_ID,NUTS1_NAME,NUTS2_NAME,NUTS3_NAME,POSTAL_CODE,CLASSIFICATION
46,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51063,PU
47,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51065,PU
48,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51067,PU
49,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51069,PU
50,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51103,PU
51,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51105,PU
52,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51107,PU
53,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51109,PU
54,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51143,PU
55,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51145,PU
56,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51147,PU
57,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51149,PU
58,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Kreisfreie Stadt",51371,PU
59,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Kreisfreie Stadt",51373,PU
60,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Kreisfreie Stadt",51375,PU
61,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Kreisfreie Stadt",51377,PU
62,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Kreisfreie Stadt",51379,PU
63,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Kreisfreie Stadt",51381,PU
66,DEA1F,Nordrhein-Westfalen,Düsseldorf,Wesel,46499,PU
67,DEA1F,Nordrhein-Westfalen,Düsseldorf,Wesel,47495,PU
68,DEA1F,Nordrhein-Westfalen,Düsseldorf,Wesel,47665,PU
71,DEA26,Nordrhein-Westfalen,Köln,Düren,52349,IN
72,DEA26,Nordrhein-Westfalen,Köln,Düren,52351,IN
73,DEA26,Nordrhein-Westfalen,Köln,Düren,52353,IN
74,DEA26,Nordrhein-Westfalen,Köln,Düren,52355,IN
75,DEA27,Nordrhein-Westfalen,Köln,Rhein-Erft-Kreis,50189,PU
76,DEA28,Nordrhein-Westfalen,Köln,Euskirchen,53879,IN
77,DEA28,Nordrhein-Westfalen,Köln,Euskirchen,53881,IN
78,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,51647,PU
79,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,51789,PU
80,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,51674,PU
81,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,51688,PU
82,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,51399,PU
83,DEA33,Nordrhein-Westfalen,Münster,"Münster, Kreisfreie Stadt",48143,IN
84,DEA33,Nordrhein-Westfalen,Münster,"Münster, Kreisfreie Stadt",48145,IN
85,DEA33,Nordrhein-Westfalen,Münster,"Münster, Kreisfreie Stadt",48161,IN
86,DEA33,Nordrhein-Westfalen,Münster,"Münster, Kreisfreie Stadt",48163,IN
87,DEA33,Nordrhein-Westfalen,Münster,"Münster, Kreisfreie Stadt",48165,IN
89,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,51429,PU
90,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,53347,PU
91,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,53859,PU
92,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,53757,PU
93,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,53913,PU
94,DEA34,Nordrhein-Westfalen,Münster,Borken,46359,IN
95,DEA35,Nordrhein-Westfalen,Münster,Coesfeld,59394,IN
96,DEA35,Nordrhein-Westfalen,Münster,Coesfeld,48720,IN
97,DEA37,Nordrhein-Westfalen,Münster,Steinfurt,48496,IN
98,DEA38,Nordrhein-Westfalen,Münster,Warendorf,59302,IN
99,DEA56,Nordrhein-Westfalen,Arnsberg,Ennepe-Ruhr-Kreis,58452,PU
100,DEA56,Nordrhein-Westfalen,Arnsberg,Ennepe-Ruhr-Kreis,58453,PU
101,DEA56,Nordrhein-Westfalen,Arnsberg,Ennepe-Ruhr-Kreis,58455,PU
102,DEA56,Nordrhein-Westfalen,Arnsberg,Ennepe-Ruhr-Kreis,58456,PU
103,DEA57,Nordrhein-Westfalen,Arnsberg,Hochsauerlandkreis,59939,IN
104,DEA58,Nordrhein-Westfalen,Arnsberg,Märkischer Kreis,58553,PU
105,DEA58,Nordrhein-Westfalen,Arnsberg,Märkischer Kreis,58579,PU
