,age,income,RLK2022,no_cars,CO2_cruise,CO2_flight,CO2_public_transport,CO2_car_total,CO2_mobility,belief_diff_mobility,cluster_id
385,38,3300.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-3.0,2
386,29,4000.0,peripher,1.0,0.0,2660.0,0.0,777.843,3437.843,-22.0,3
387,19,4000.0,sehr zentral,2.0,0.0,1642.0,107.8,8317.135,10066.935,-31.0,1
388,41,3000.0,zentral,2.0,0.0,0.0,0.0,4477.275,4477.275,-24.0,3
389,45,3000.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,18.0,2
390,34,3500.0,sehr zentral,1.0,0.0,0.0,0.0,2592.81,2592.81,-21.0,3
391,56,3000.0,sehr zentral,2.0,0.0,0.0,107.8,2.59281,110.39281,-5.0,1
392,26,2400.0,peripher,1.0,0.0,798.0,107.8,0.537273,906.337273,40.0,2
393,46,8000.0,sehr zentral,1.0,0.0,0.0,0.0,2074.248,2074.248,0.0,3
394,30,3500.0,zentral,0.0,0.0,798.0,107.8,0.0,905.8,-8.0,2
395,30,7000.0,sehr zentral,1.0,0.0,266.0,107.8,1611.819,1985.619,-5.0,1
396,51,3000.0,sehr zentral,1.0,0.0,1064.0,0.0,895.455,1959.455,-12.0,3
397,24,3500.0,sehr zentral,1.0,0.0,0.0,107.8,1074.546,1182.346,-11.0,1
398,23,1200.0,zentral,0.0,0.0,532.0,107.8,0.0,639.8,7.0,2
399,25,570.0,zentral,0.0,0.0,11260.0,107.8,0.0,11367.8,-14.0,2
400,23,840.0,zentral,0.0,0.0,2660.0,107.8,0.0,2767.8,-12.0,2
401,33,3100.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,28.0,2
402,38,2100.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,8.0,2
403,25,2400.0,sehr zentral,0.0,0.0,3990.0,107.8,0.0,4097.8,-2.0,2
404,35,903.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-2.0,2
405,33,5300.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-2.0,2
406,25,900.0,sehr zentral,0.0,0.0,266.0,107.8,0.0,373.8,7.0,2
407,24,1600.0,zentral,0.0,0.0,1032.0,107.8,0.0,1139.8,9.0,2
408,61,1500.0,sehr zentral,1.0,0.0,0.0,107.8,179.091,286.891,33.0,2
409,29,5000.0,zentral,1.0,0.0,3839.0,107.8,1855.01,5801.81,-13.0,1
410,36,4000.0,sehr zentral,1.0,0.0,5192.0,107.8,2411.513,7711.313,-63.0,1
411,25,650.0,zentral,0.0,0.0,1204.0,107.8,0.0,1311.8,15.0,2
412,24,3000.0,sehr zentral,0.0,0.0,1596.0,107.8,0.0,1703.8,-16.0,2
413,21,2500.0,peripher,1.0,0.0,0.0,0.0,1855.01,1855.01,18.0,3
